PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
PACKET COUNT,PACKET TYPE,9000,58,800
PACKET COUNT,PACKET TYPE,10000,59,900
PACKET COUNT,PACKET TYPE,1000,50,0
PACKET COUNT,PACKET TYPE,2000,51,100
PACKET COUNT,PACKET TYPE,3000,52,200
PACKET COUNT,PACKET TYPE,4000,53,300
PACKET COUNT,PACKET TYPE,5000,54,400
PACKET COUNT,PACKET TYPE,6000,55,500
PACKET COUNT,PACKET TYPE,7000,56,600
PACKET COUNT,PACKET TYPE,8000,57,700
